Título.1,Autor,Puntuacion,Precio,Genero,Formato
50 Cápsulas de Amor Propio: Múltiples maneras de llegar a ti,Sara Espejo,4.6,17.48,Autoayuda,Tapa blanda
"Adiós a la inflamación. Cómo prevenir enfermedades, retrasar el envejecimiento y perder peso",Sandra Moñino,4.9,18.9,Nutrición,Tapa blanda
Alas de sangre,Rebecca Yarros,4.7,20.61,Fantasía,Tapa dura
Algo que sirva como luz: Supersubmarina: la historia de cuatro amigos que vivieron el éxito y la tragedia,Fernando Navarro,4.6,18.9,Biografía,Tapa blanda
Anatomía del mal: 8 crímenes que te harán perder la fe en la humanidad,Jordi Wild,4.4,19.85,No Ficción,Tapa dura
Ansia,Henar Álvarez,4.4,18.9,Erótica,Tapa blanda
Binding 13,Chloe Walsh,4.6,18.95,Juvenil,Tapa blanda
BLACKWATER I. La riada: 1,Michael McDowell,4.3,9.4,Ficción,Tapa blanda
BLACKWATER II. El dique: 2,Michael McDowell,4.4,9.4,Ficción,Tapa blanda
BLACKWATER III. La casa: 3,Michael McDowell,4.7,9.4,Ficción,Tapa blanda
BLACKWATER V. La fortuna: 5,Michael McDowell,4.5,9.4,Ficción,Tapa blanda
BLACKWATER VI. Lluvia: 6,Michael McDowell,4.6,9.4,Ficción,Tapa blanda
"Cómo hacer que te pasen cosas buenas: Entiende tu cerebro, gestiona tus emociones, mejora tu vida",Marian Rojas Estapé,4.6,18.9,Psicología,Tapa blanda
Destroza este diario. Ahora a todo color,Keri Smith,4.7,11.35,Arte,Tapa blanda
El Hombre en busca de Sentido,Viktor Emil Frankl,4.7,12.25,Psicología,Tapa blanda
El monje que vendió su Ferrari: Una fábula espiritual,Robin Sharma,4.6,9.46,Ficción,Libro de bolsillo
El Poder Del Ahora Una Guía Para La Iluminación Espiritual - Español,Eckhart Tolle,4.5,9.5,Autoayuda,Tapa blanda
En agosto nos vemos,Gabriel García Márquez,4.1,18.9,Ficción,Tapa dura
Fabricante de lágrimas,Erin Doom,4.3,23.7,Juvenil,Tapa dura
Fabricante de lágrimas: Un fenómeno bestseller internacional,Erin Doom,4.3,18.95,Juvenil,Tapa blanda
"Hábitos atómicos: Cambios pequeños, resultados extraordinarios",James Clear,4.6,18.9,Otros,Tapa blanda
La grieta del silencio,Javier Castillo,4.6,20.8,Thriller,Tapa blanda
La paciente silenciosa,Alex Michaelides,4.2,10.4,Thriller,Libro de bolsillo
Las hijas de la criada Premio Planeta 2023,Sonsoles Ónega,4.2,21.75,Ficción,Tapa dura
No hagas montañas de granos de arena,Rafael Santandreu,4,19.85,Autoayuda,Tapa blanda
París 2024,Francisco Ibáñez,4.6,15.15,Cómic,Tapa dura
Powerless,Lauren Roberts,4.5,23.7,Juvenil,Tapa dura
"Recupera tu mente, reconquista tu vida",Marian Rojas Estapé,4.7,19.85,Psicología,Tapa blanda
Romper el hielo,Hannah Grace,4.3,18.9,Juvenil,Tapa blanda
Un animal salvaje,Joël Dicker,4.2,22.7,Thriller,Tapa blanda
