Título,Autor,Puntuación,Precio,Género
El silencio entre tú y yo: novela romántica contemporánea,Ana González Duque,4.1,2.89,Romance
Cómo Dejar de Pensar Demasiado: La Guía Completa para utilizar tu Mente de Forma Constructiva. Soluciones y Técnicas para Controlar la Ansiedad y Eliminar los Pensamientos Negativos,Ángel Ruiz,4.4,7.99,Autoayuda
Castigo,Carme Chaparro,4.4,10.44,Otros
Arrastrada hacia el altar,Catherine Brook,3.9,2.81,Romance
"Ayuno Intermitente Eficiente: Bajar De Peso Y Recuperar Tu Salud Nunca Fue Tan Fácil: Guía Avanzada, Técnica Y Completa Para Hacer Ayuno, Mejorar Tu Salud, Adelgazar Y Ganar Energía",Chris Díaz,4.2,4.99,Autoayuda
El niño,Fernando Aramburu,4,10.44,Novela Histórica
PIEL: No confíes en nadie. Ni siquiera en ti mismo.,Fernando Gamboa,4.4,5.99,Aventura
No estoy para ti,Gema Samaro,4.2,2.99,Ficción
Un desastre con patas,Gema Samaro,4,2.99,Romance
El secreto de las olas: Un thriller psicológico con un final inesperado,Gregg Dunnett,3.7,3.99,Thriller
La grieta del silencio,Javier Castillo,4.6,10.44,Ficción
REDENCIÓN: Un thriller como no has leído jamás,Jennie Goutet,4.1,6.99,Novela Histórica
Zarco: Novela Romántica de Mafia,Jess GR,4.5,2.99,Romance
Mía por contrato,Jessica Macedo,3.6,4.99,Romance
Un animal salvaje,Joël Dicker,4.2,12.34,Thriller
"600 noches después : Crimen, misterio y romance en Nueva York",Lorena Franco,4.3,3.99,Thriller
El último cielo perdido,Marcos Nieto Pallarés,3.8,3.99,Thriller
La tercera familia: Un thriller que hiela la sangre,Marcos Nieto Pallarés,4,3.99,Thriller
"Recupera tu mente, reconquista tu vida",Marian Rojas Estapé,4.7,10.44,Psicología
BLACKWATER I. La riada,Michael McDowell,4.3,7.59,Ficción
El hijo olvidado,Mikel Santiago,4.4,8.54,Thriller
Malik,Mita Marco,4.3,3.7,Romance
Alas de sangre,Rebecca Yarros,4.7,9.49,Fantasía
LA ENVIDIA DE LOS MEDIOCRES,Roberto Martínez Guzmán,3.9,3.99,Thriller
"Adiós a la inflamación. Cómo prevenir enfermedades, retrasar el envejecimiento y perder peso",Sandra Moñino,4.9,9.49,Nutrición
"Bruce. Heredero traicionado: Una historia de amor, pasión, intriga, venganzas y traiciones en el corazón de Escocia",Sarah Valentine,3.9,2.99,Romance
Las hijas de la criada: Premio Planeta 2023,Sonsoles Ónega,4.2,12.34,Novela Histórica
Lucha por lo que amas,Sophie Saint Rose,4.5,2.99,Romance
"TE ODIO, JAMES BLACK",Star Clark,4.2,2.69,Romance
Détox De Dopamina : Una guía breve para eliminar distracciones y entrenar tu mente para hacer lo difícil,Thibaut Meurisse,4.3,2.99,Autoayuda
